"","id","Image","Hurricane","LineStrg","On Line","Lines","value","DamageC","OnLine"
"103",8389,"I3","H3","A","Off","1","Equal damage",0,1
"104",8328,"I3","H3","A","Off","1","A",1,1
"105",8216,"I3","H3","A","Off","1","B",0,1
"106",8552,"I3","H3","A","Off","1","B",0,1
"107",6942,"I3","H3","A","Off","1","B",0,1
"108",NA,"I3","H3","A","Off","1","",0,1
"109",8329,"I4","H3","B","Off","1","Equal damage",0,1
"110",8263,"I4","H3","B","Off","1","A",0,1
"111",8372,"I4","H3","B","Off","1","B",1,1
"112",6767,"I4","H3","B","Off","1","B",1,1
"113",8519,"I4","H3","B","Off","1","A",0,1
"114",8281,"I4","H3","B","Off","1","B",1,1
"115",5971,"I4","H3","B","Off","1","A",0,1
"116",8554,"I4","H3","B","Off","1","A",0,1
"117",8536,"I4","H3","B","Off","1","B",1,1
"118",8108,"I4","H3","B","Off","1","B",1,1
"119",5766,"I4","H3","B","Off","1","Equal damage",0,1
"120",8556,"I4","H3","B","Off","1","A",0,1
"121",8103,"I4","H3","B","Off","1","A",0,1
"122",6402,"I4","H3","B","Off","1","A",0,1
"123",8312,"I4","H3","B","Off","1","B",1,1
"124",7699,"I4","H3","B","Off","1","B",1,1
"125",8577,"I4","H3","B","Off","1","B",1,1
"126",6035,"I4","H3","B","Off","1","Equal damage",0,1
"127",8404,"I4","H3","B","Off","1","Equal damage",0,1
"128",8290,"I4","H3","B","Off","1","A",0,1
"129",8470,"I4","H3","B","Off","1","A",0,1
"130",6781,"I4","H3","B","Off","1","B",1,1
"131",8446,"I4","H3","B","Off","1","Equal damage",0,1
"132",8659,"I4","H3","B","Off","1","A",0,1
"133",8361,"I4","H3","B","Off","1","A",0,1
"134",8654,"I4","H3","B","Off","1","Equal damage",0,1
"135",8350,"I4","H3","B","Off","1","A",0,1
"136",8393,"I4","H3","B","Off","1","A",0,1
"137",7548,"I4","H3","B","Off","1","Equal damage",0,1
"138",5927,"I4","H3","B","Off","1","Equal damage",0,1
"139",8389,"I4","H3","B","Off","1","A",0,1
"140",8328,"I4","H3","B","Off","1","B",1,1
"141",8216,"I4","H3","B","Off","1","A",0,1
"142",8552,"I4","H3","B","Off","1","A",0,1
"143",6942,"I4","H3","B","Off","1","A",0,1
"144",NA,"I4","H3","B","Off","1","",0,1
"145",8329,"I5","H3","A","On","1","Equal damage",0,0
"146",8263,"I5","H3","A","On","1","A",1,0
"147",8372,"I5","H3","A","On","1","A",1,0
"148",6767,"I5","H3","A","On","1","A",1,0
"149",8519,"I5","H3","A","On","1","A",1,0
"150",8281,"I5","H3","A","On","1","A",1,0
"151",5971,"I5","H3","A","On","1","A",1,0
"152",8554,"I5","H3","A","On","1","A",1,0
"153",8536,"I5","H3","A","On","1","A",1,0
"154",8108,"I5","H3","A","On","1","A",1,0
"155",5766,"I5","H3","A","On","1","Equal damage",0,0
"156",8556,"I5","H3","A","On","1","A",1,0
"157",8103,"I5","H3","A","On","1","A",1,0
"158",6402,"I5","H3","A","On","1","A",1,0
"159",8312,"I5","H3","A","On","1","A",1,0
"160",7699,"I5","H3","A","On","1","Equal damage",0,0
"161",8577,"I5","H3","A","On","1","A",1,0
"162",6035,"I5","H3","A","On","1","A",1,0
"163",8404,"I5","H3","A","On","1","Equal damage",0,0
"164",8290,"I5","H3","A","On","1","A",1,0
"165",8470,"I5","H3","A","On","1","A",1,0
"166",6781,"I5","H3","A","On","1","A",1,0
"167",8446,"I5","H3","A","On","1","Equal damage",0,0
"168",8659,"I5","H3","A","On","1","Equal damage",0,0
"169",8361,"I5","H3","A","On","1","A",1,0
"170",8654,"I5","H3","A","On","1","A",1,0
"171",8350,"I5","H3","A","On","1","A",1,0
"172",8393,"I5","H3","A","On","1","A",1,0
"173",7548,"I5","H3","A","On","1","Equal damage",0,0
"174",5927,"I5","H3","A","On","1","A",1,0
"175",8389,"I5","H3","A","On","1","Equal damage",0,0
"176",8328,"I5","H3","A","On","1","A",1,0
"177",8216,"I5","H3","A","On","1","A",1,0
"178",8552,"I5","H3","A","On","1","A",1,0
"179",6942,"I5","H3","A","On","1","A",1,0
"180",NA,"I5","H3","A","On","1","",0,0
"181",8329,"I6","H3","B","On","1","Equal damage",0,0
"182",8263,"I6","H3","B","On","1","B",1,0
"183",8372,"I6","H3","B","On","1","B",1,0
"184",6767,"I6","H3","B","On","1","Equal damage",0,0
"185",8519,"I6","H3","B","On","1","B",1,0
"186",8281,"I6","H3","B","On","1","B",1,0
"187",5971,"I6","H3","B","On","1","B",1,0
"188",8554,"I6","H3","B","On","1","B",1,0
"189",8536,"I6","H3","B","On","1","B",1,0
"190",8108,"I6","H3","B","On","1","B",1,0
"191",5766,"I6","H3","B","On","1","Equal damage",0,0
"192",8556,"I6","H3","B","On","1","B",1,0
"193",8103,"I6","H3","B","On","1","Equal damage",0,0
"194",6402,"I6","H3","B","On","1","B",1,0
"195",8312,"I6","H3","B","On","1","Equal damage",0,0
"196",7699,"I6","H3","B","On","1","Equal damage",0,0
"197",8577,"I6","H3","B","On","1","B",1,0
"198",6035,"I6","H3","B","On","1","Equal damage",0,0
"199",8404,"I6","H3","B","On","1","Equal damage",0,0
"200",8290,"I6","H3","B","On","1","B",1,0
"201",8470,"I6","H3","B","On","1","B",1,0
"202",6781,"I6","H3","B","On","1","B",1,0
"203",8446,"I6","H3","B","On","1","B",1,0
"204",8659,"I6","H3","B","On","1","B",1,0
"205",8361,"I6","H3","B","On","1","B",1,0
"206",8654,"I6","H3","B","On","1","Equal damage",0,0
"207",8350,"I6","H3","B","On","1","B",1,0
"208",8393,"I6","H3","B","On","1","B",1,0
"209",7548,"I6","H3","B","On","1","Equal damage",0,0
"210",5927,"I6","H3","B","On","1","B",1,0
"211",8389,"I6","H3","B","On","1","B",1,0
"212",8328,"I6","H3","B","On","1","Equal damage",0,0
"213",8216,"I6","H3","B","On","1","B",1,0
"214",8552,"I6","H3","B","On","1","Equal damage",0,0
"215",6942,"I6","H3","B","On","1","B",1,0
"216",NA,"I6","H3","B","On","1","",0,0
"217",8329,"I7","H3","B","On","1","B",1,0
"218",8263,"I7","H3","B","On","1","B",1,0
"219",8372,"I7","H3","B","On","1","B",1,0
"220",6767,"I7","H3","B","On","1","Equal damage",0,0
"221",8519,"I7","H3","B","On","1","B",1,0
"222",8281,"I7","H3","B","On","1","B",1,0
"223",5971,"I7","H3","B","On","1","B",1,0
"224",8554,"I7","H3","B","On","1","B",1,0
"225",8536,"I7","H3","B","On","1","B",1,0
